Agent;Motor;Àncora;Conflicte;Aspecte
Una escriptora;Vol divulgar una mentida sobre;Una joia;Però perdrà la seva parella;Decrèpita
Una veïna;Vol deixar de ser;Una fàbrica;Però la seva comunitat el rebutjarà;Enganyosa
Un esvalotador / agitador;Vol deixar l'addicció de;Una clau;Però trencarà una llei (llei arcana);Pacífica
Un esperit;Vol deixar de ser perseguit per;Els records;Però si ho fa sap que és erroni o injust;Intel·ligent
Un manifestant;Vol acabar/terminar;Un animal;Però ha de tenir fe en una gran mentira;Silenciosa
Un xafarder;Vol robar el secret de;Els artefactes;Però la seva seguretat posarà en risc la seva família;Encantada
Un canviaformes;Vol restaurar la memòria de;Els mediadors;Però ha de deixar enrere alguna cosa (el seu gos, el seu fill...);Obstinada
Una missatgera;Vol finalitzar una guerra amb;Un cementiri;Però la seva sang farà que pateixi una malaltia;Amenaçada
Una santa;Vol unificar;Una plataforma;Però es convertirà en allò que odia;Insistent
Un artista de biblioteca;Vol cridar l'atenció sobre;Un vel;Però ha perdut el do de manifestar la seva (màgia/poder);Brillant
Un gegant;Vol assumir el poder de;Una joguina;Però ha de guardar un horrible secret;Fràgil
Una revolucionària;Vol trobar una manera de tornar;Un mineral;Però s'enfrontarà a la seva comunitat;Ardent
Un familiar;Vol entendre la passió (per reviure-la);Un tatuatge;Però deixarà de ser una persona lliure (pres);Divina
Una bessona;Vol salvar la vida de;Les dades de vida;Però la persona que més odia està al càrrec;Tràgica
Una mestra;Vol destruir el somni d'algú;Els ossos;Però haurà d'aprendre alguna cosa molt de pressa;Mentirosa
Una pura;Vol guanyar (o agradar a);Un pare;Però assumirà la càrrega que estava evitant;Moderna
Una superhumana;Vol acabar amb la plaga de;Les herbes;Però es convertirà en algú a qui odia;Petita / Adhesiva
Una profeta;Vol anar d'acord amb;Una arma;Però es trobarà sol/a;Llicenciada
Una granja (o Una brivall);Vol amagar els perills de;Un banc;Però significarà sacrificar un rei, o un pes pesant;Gegant
Una investigadora;Vol guanyar un torneig;Una planta;Però ho condemnarà tot al final;Corrupta
Una jubilada;Vol fer (o fer-se) mal;Una llar;Però perdrà el món que coneix;Elegant
Una terapeuta;Vol visitar;Una villana;Però s'enfrontarà a la seva comunitat;Severa
